id,gtg,case_study,harm_area,type,platform,value,role,description,first_seen,last_seen,handling,reference_url,report_date
indicator--1112b12a-8cb7-540b-804a-7a488625e953,GTG-20006,Russian espionage,cyber_operations,domain,,ad-g[.]org,c2,C2 domain,,,detect-or-block,https://www.anthropic.com/threat-intelligence-report-september-2026#gtg-20006-russian-espionage,2026-09-10
indicator--992366f5-c964-509f-b217-27fab87c3316,GTG-20006,Russian espionage,cyber_operations,domain,,cdncounter[.]net,infrastructure,Actor infrastructure domain,,,detect-or-block,https://www.anthropic.com/threat-intelligence-report-september-2026#gtg-20006-russian-espionage,2026-09-10
indicator--1133aa2f-0064-5127-8182-a74908b9fe9b,GTG-20006,Russian espionage,cyber_operations,domain,,chamber-ua[.]org,phishing,Lookalike of a Ukrainian chamber organization,,,detect-or-block,https://www.anthropic.com/threat-intelligence-report-september-2026#gtg-20006-russian-espionage,2026-09-10
indicator--0bef2cc2-743d-5321-81f1-e305fda0b369,GTG-20006,Russian espionage,cyber_operations,domain,,chathamhouse[.]eu,phishing,Lookalike of Chatham House,,,detect-or-block,https://www.anthropic.com/threat-intelligence-report-september-2026#gtg-20006-russian-espionage,2026-09-10
indicator--55cc5602-2011-5e10-84cd-37a3d69007bd,GTG-20006,Russian espionage,cyber_operations,domain,,docs-viewer[.]org,c2,C2 nginx reverse proxy,,,detect-or-block,https://www.anthropic.com/threat-intelligence-report-september-2026#gtg-20006-russian-espionage,2026-09-10
indicator--a464777f-dc3f-5f40-9f25-701edf9e9622,GTG-20006,Russian espionage,cyber_operations,domain,,itechx[.]tel,infrastructure,Actor identity domain,,,detect-or-block,https://www.anthropic.com/threat-intelligence-report-september-2026#gtg-20006-russian-espionage,2026-09-10
indicator--afe1a0ff-49ec-5994-be46-9ef04a19ad38,GTG-20006,Russian espionage,cyber_operations,domain,,m365-owa[.]com,phishing,Microsoft 365 Phishing,,,detect-or-block,https://www.anthropic.com/threat-intelligence-report-september-2026#gtg-20006-russian-espionage,2026-09-10
indicator--eef621a9-3d72-53d1-8459-5140ac8226ae,GTG-20006,Russian espionage,cyber_operations,domain,,meridian-protocol[.]org,infrastructure,Operator/lure infrastructure,,,detect-or-block,https://www.anthropic.com/threat-intelligence-report-september-2026#gtg-20006-russian-espionage,2026-09-10
indicator--c4274690-9cc6-5c2f-93e7-caa2e63b391d,GTG-20006,Russian espionage,cyber_operations,domain,,meridiangroup-corp[.]com,infrastructure,Operator/lure infrastructure,,,detect-or-block,https://www.anthropic.com/threat-intelligence-report-september-2026#gtg-20006-russian-espionage,2026-09-10
indicator--7ec535e7-70d4-547a-8415-ce714eef245c,GTG-20006,Russian espionage,cyber_operations,domain,,metricwave[.]org,infrastructure,Operator/lure infrastructure,,,detect-or-block,https://www.anthropic.com/threat-intelligence-report-september-2026#gtg-20006-russian-espionage,2026-09-10
indicator--b90fc946-efb6-5c5d-9c45-a263be664dd2,GTG-20006,Russian espionage,cyber_operations,domain,,mgsend[.]org,infrastructure,Operator/lure infrastructure,,,detect-or-block,https://www.anthropic.com/threat-intelligence-report-september-2026#gtg-20006-russian-espionage,2026-09-10
indicator--a3c4f801-ca05-5c06-892f-b96f147ff0cc,GTG-20006,Russian espionage,cyber_operations,domain,,ms365-device[.]com,phishing,Microsoft 365 Phishing,,,detect-or-block,https://www.anthropic.com/threat-intelligence-report-september-2026#gtg-20006-russian-espionage,2026-09-10
indicator--00f9020f-7fed-5580-ab43-0a7284bd6017,GTG-20006,Russian espionage,cyber_operations,domain,,ms365-live[.]com,phishing,Microsoft 365 Phishing,,,detect-or-block,https://www.anthropic.com/threat-intelligence-report-september-2026#gtg-20006-russian-espionage,2026-09-10
indicator--8474cc76-eadc-5c6a-a45a-e41c1776d823,GTG-20006,Russian espionage,cyber_operations,domain,,my-invite[.]org,phishing,Actor phishing domain,,,detect-or-block,https://www.anthropic.com/threat-intelligence-report-september-2026#gtg-20006-russian-espionage,2026-09-10
indicator--7f26a53e-c75f-56e2-b789-d33df31963ce,GTG-20006,Russian espionage,cyber_operations,domain,,mygreatmarket[.]com,c2,ClickFix cookie-exfil C2,,,detect-or-block,https://www.anthropic.com/threat-intelligence-report-september-2026#gtg-20006-russian-espionage,2026-09-10
indicator--6a6ed810-1fd5-5bd7-bdfa-e5a852441a0b,GTG-20006,Russian espionage,cyber_operations,domain,,mygreatmarket[.]org,c2,ClickFix cookie-exfil C2,,,detect-or-block,https://www.anthropic.com/threat-intelligence-report-september-2026#gtg-20006-russian-espionage,2026-09-10
indicator--ebf9389c-c5e2-5a40-807e-c2aa8eb11ad1,GTG-20006,Russian espionage,cyber_operations,domain,,owa-ms365[.]com,phishing,Microsoft 365 Phishing,,,detect-or-block,https://www.anthropic.com/threat-intelligence-report-september-2026#gtg-20006-russian-espionage,2026-09-10
indicator--6165e7cd-3844-5913-b085-022f2aca1659,GTG-20006,Russian espionage,cyber_operations,domain,,projectnightcrawler[.]dev,infrastructure,Operator/lure infrastructure,,,detect-or-block,https://www.anthropic.com/threat-intelligence-report-september-2026#gtg-20006-russian-espionage,2026-09-10
indicator--0f20e665-9916-5bda-bdfd-6ecad635a838,GTG-20006,Russian espionage,cyber_operations,domain,,russianearabroad[.]com,phishing,ClickFix lure,,,detect-or-block,https://www.anthropic.com/threat-intelligence-report-september-2026#gtg-20006-russian-espionage,2026-09-10
indicator--531bb7b2-fb9c-56e2-9425-b7714b2f2e56,GTG-20006,Russian espionage,cyber_operations,domain,,russianearabroad[.]org,infrastructure,Actor persona domain,,,detect-or-block,https://www.anthropic.com/threat-intelligence-report-september-2026#gtg-20006-russian-espionage,2026-09-10
indicator--1aba9995-8c3d-5f4e-a369-c8e667f55dd1,GTG-20006,Russian espionage,cyber_operations,domain,,static-ms[.]live,infrastructure,Operator/lure infrastructure,,,detect-or-block,https://www.anthropic.com/threat-intelligence-report-september-2026#gtg-20006-russian-espionage,2026-09-10
indicator--906f3624-83c7-5b2e-a3fd-89e34cabad23,GTG-20006,Russian espionage,cyber_operations,domain,,statistic-ms[.]live,c2,Primary RAT C2 domain,,,detect-or-block,https://www.anthropic.com/threat-intelligence-report-september-2026#gtg-20006-russian-espionage,2026-09-10
indicator--705377d9-0260-505d-8155-7421c05654b9,GTG-20006,Russian espionage,cyber_operations,domain,,stuseamandesilt[.]org,infrastructure,Campaign base domain,,,detect-or-block,https://www.anthropic.com/threat-intelligence-report-september-2026#gtg-20006-russian-espionage,2026-09-10
indicator--f771082c-777c-54b9-ab1c-364271862e5d,GTG-20006,Russian espionage,cyber_operations,domain,,ukrinform-share[.]net,phishing,Lookalike of Ukrinform,,,detect-or-block,https://www.anthropic.com/threat-intelligence-report-september-2026#gtg-20006-russian-espionage,2026-09-10
indicator--f46943bd-d777-5cb7-9e94-4a9b4d162e38,GTG-20006,Russian espionage,cyber_operations,domain,,wa-connect[.]eu,c2,ClickFix cookie exfil C2,,,detect-or-block,https://www.anthropic.com/threat-intelligence-report-september-2026#gtg-20006-russian-espionage,2026-09-10
indicator--65fbeb0e-b4de-5e8a-9a5b-f86152f7e1ff,GTG-20006,Russian espionage,cyber_operations,domain,,wa-meeting[.]com,phishing,WhatsApp Web pairing code phishing domain,,,detect-or-block,https://www.anthropic.com/threat-intelligence-report-september-2026#gtg-20006-russian-espionage,2026-09-10
indicator--988380a4-0eaf-51d7-b0ae-42d37b9d03aa,GTG-20006,Russian espionage,cyber_operations,email,,anna.manager@russianearabroad[.]net,phishing,Phishing persona address,,,detect-or-block,https://www.anthropic.com/threat-intelligence-report-september-2026#gtg-20006-russian-espionage,2026-09-10
